dun_code,dun_name,winner_name,winner_party,winner_votes
N.01,Banggi,Mohammad Bin Mohamarin,GRS,2484
N.02,Bengkoka,Harun Bin Durabi,BN,2485
N.03,Pitas,Ruddy Bin Awah,GRS,5754
N.04,Tanjong Kapor,Chong Chen Bin,GRS,6171
N.05,Matunggong,Julita Mojungki,GRS,9096
N.06,Bandau,Maijol Bin Mahap,BEBAS,3996
N.07,Tandek,Hendrus Anding,GRS,7554
N.08,Pintasan,Fairuz Bin Renddan,BEBAS,4675
N.09,Tempasuk,Mohd Arsad Bin Bistari,GRS,4914
N.10,Usukan,Isnaraisah Munirah Bt Majilis@Fakharudy,WARISAN,6292
N.11,Kadamaian,Ewon Benedick,UPKO,11977
N.12,Sulaman,Hajiji Bin Haji Noor,GRS,10639
N.13,Pantai Dalit,Jasnih Bin Daya,GRS,8306
N.14,Tamparuli,Madius Bin Tangau,UPKO,8247
N.15,Kiulu,Joniston Bin Lumai @ Bangkuai,GRS,4316
N.16,Karambunai,Aliakbar Bin Gulasan,PN,7054
N.17,Darau,Azhar Bin Matussin,WARISAN,8360
N.18,Inanam,Edna Jessica Majimbun,WARISAN,9441
N.19,Likas,Tham Yun Fook,WARISAN,5768
N.20,Api-Api,Loi Kok Liang,WARISAN,6061
N.21,Luyang,Samuel Wong Tshun Chuen,WARISAN,11942
N.22,Tanjung Aru,Wong Hong Jun,WARISAN,6120
N.23,Petagas,Awang Ahmad Sah,BEBAS,4271
N.24,Tanjung Keramat,Shah Alfie Bin Yahya Ahmad Shah,GRS,5699
N.25,Kapayan,Chin Tek Ming,WARISAN,14597
N.26,Moyog,Donald Peter Mojuntin,UPKO,9108
N.27,Limbahau,Juil Bin Nuatim,GRS,6444
N.28,Kawang,Gulamhaidar @ Yusof Bin Khan Bahadar,GRS,11688
N.29,Pantai Manis,Pengiran Saifuddin Bin Pengiran Tahir,GRS,6755
N.30,Bongawan,Daud Bin Yusof,WARISAN,5542
N.31,Membakut,Mohd Arifin Bin Mohd Arif,GRS,5668
N.32,Klias,Isnin Bin Aliasnih @ Liasnih,GRS,6078
N.33,Kuala Penyu,Limus Bin Jury,GRS,8633
N.34,Lumadan,Ruslan Bin Muharam,GRS,7967
N.35,Sindumin,Yusri Bin Pungut,WARISAN,5086
N.36,Kundasang,Joachim Gunsalam,GRS,4640
N.37,Karanan,Masidi Bin Manjun @ Masdi,GRS,7081
N.38,Paginatan,Rusdin @ Musidi Bin Riman,KDM,5992
N.39,Tambunan,Gapari Bin Katingan @ Geoffrey Kitingan,STARSABAH,12595
N.40,Bingkor,Mohd Ishak Bin Ayub,STARSABAH,9346
N.41,Liawan,Nik Mohd Nadzri Bin Nik Zawawi,BN,5882
N.42,Melalap,Jamawi Bin Jaâ€™afar,PH,5064
N.43,Kemabong,Rubin Bin Balang,GRS,6326
N.44,Tulid,Jordan Jude Ellron,BEBAS,3545
N.45,Sook,Arthur Joseph Kurup,BN,8307
N.46,Nabawan,Abdul Ghani Bin Mohamed Yassin,GRS,5283
N.47,Telupid,Jonnybone J Kurum,GRS,3868
N.48,Sugut,James Bin Ratib,GRS,6281
N.49,Labuk,Samad Bin Jambri @ Jamri,GRS,2885
N.50,Gum-Gum,Arunaransin Bin Taib,WARISAN,2997
N.51,Sungai Manila,Hazem Mubarak Bin Musa,GRS,4349
N.52,Sungai Sibuga,Nurulalsah Binti Hassan Alban,WARISAN,6619
N.53,Sekong,Alias Bin Sani,WARISAN,6487
N.54,Karamunting,Wong Tshun Khee,WARISAN,4311
N.55,Elopura,Chong Ket Kiun,WARISAN,8603
N.56,Tanjong Papat,Thien Ching Qiang,WARISAN,3254
N.57,Kuamut,Masiung Bin Banah,GRS,4980
N.58,Lamag,Moktar Bin Radin,BN,3908
N.59,Sukau,Jafry Bin Ariffin,BN,5143
N.60,Tungku,Assaffal @ Samsul Kamal Bin P Alian,WARISAN,5739
N.61,Segama,Muhammad Bin Abdul Karim,WARISAN,7325
N.62,Silam,Mohammad Yusof Bin Apdal,WARISAN,7116
N.63,Kunak,Anil Jeet Singh,BN,5986
N.64,Sulabayan,Jaujan Bin Sambakong,WARISAN,7318
N.65,Senallang,Mohd Shafie Bin Apdal,WARISAN,8751
N.66,Bugaya,Jamil Bin Hamzah,WARISAN,13414
N.67,Balung,Syed Ahmad Bin Syed Abas,GRS,4717
N.68,Apas,Nizam Bin Datuk Abu Bakar Titingan,GRS,9239
N.69,Sri Tanjong,Justin Wong Yung Bin,WARISAN,9774
N.70,Kukusan,Rina Binti Jainal,BEBAS,3490
N.71,Tanjung Batu,Andi Md Shamsureezal Bin Mohd Sainal,GRS,5492
N.72,Merotai,Sarifuddin Bin Hata,WARISAN,8855
N.73,Sebatik,Manahing Tinggilani @ Tangilani,WARISAN,2795
